	Length
0	33.0
1	34.0
2	18.0
3	28.0
4	21.0
5	34.0
6	13.0
7	26.0
8	21.0
9	30.0
10	18.0
11	37.0
12	25.0
13	24.0
14	37.0
15	24.0
16	13.0
17	20.0
18	38.0
19	34.0
20	13.0
21	19.0
22	33.0
23	13.0
24	34.0
25	18.0
26	28.0
27	17.0
28	13.0
29	30.0
30	16.0
31	23.0
32	24.0
33	37.0
34	24.0
35	19.0
36	37.0
37	24.0
38	17.0
39	17.0
40	21.0
41	21.0
42	20.0
43	33.0
44	27.0
45	26.0
46	20.0
47	12.0
48	14.0
49	25.0
50	17.0
51	13.0
52	13.0
53	13.0
54	34.0
55	34.0
56	27.0
57	23.0
58	30.0
59	23.0
60	24.0
61	13.0
62	29.0
63	36.0
64	30.0
65	24.0
66	35.0
67	13.0
68	26.0
69	27.0
70	21.0
71	17.0
72	15.0
73	17.0
74	28.0
75	39.0
76	18.0
77	21.0
78	16.0
79	38.0
80	32.0
81	37.0
82	35.0
83	21.0
84	36.0
85	25.0
86	23.0
87	19.0
88	28.0
89	18.0
90	26.0
91	37.0
92	20.0
93	30.0
94	31.0
95	32.0
96	30.0
97	16.0
98	24.0
99	28.0
100	34.0
101	28.0
102	19.0
103	25.0
104	23.0
105	33.0
106	21.0
107	14.0
108	18.0
109	29.0
110	39.0
111	34.0
112	38.0
113	24.0
114	37.0
115	14.0
116	21.0
117	33.0
118	33.0
119	28.0
120	11.0
121	23.0
122	18.0
123	38.0
124	18.0
125	24.0
126	27.0
127	29.0
128	31.0
129	17.0
130	25.0
131	30.0
132	11.0
133	25.0
134	29.0
135	18.0
136	19.0
137	28.0
