	0	1	0	1
0	260.0	-24.722610722610725	260.0	-90.21375291375291
1	259.0	-593.6759906759906	259.0	-667.4592074592074
2	258.0	-494.1794871794872	258.0	-484.72261072261074
3	257.0	-410.8368298368298	257.0	-339.2237762237762
4	256.0	-366.55944055944065	256.0	-353.31235431235433
5	255.0	-305.7062937062937	255.0	-291.4895104895105
6	254.0	-344.4428904428905	254.0	-355.2237762237762
7	253.0	-371.4149184149184	253.0	-408.4055944055944
8	252.0	-418.3100233100234	252.0	-472.77855477855485
9	251.0	-551.4032634032635	251.0	-494.01864801864804
10	250.0	-612.3869463869464	250.0	-506.941724941725
11	249.0	-765.030303030303	249.0	-530.7249417249418
12	248.0	-856.4149184149185	248.0	-528.5198135198135
13	247.0	-1019.9324009324012	247.0	-523.8764568764569
14	246.0	-1232.0629370629372	246.0	-511.48018648018655
15	245.0	-1383.902097902098	245.0	-506.4428904428905
16	244.0	-1560.699300699301	244.0	-534.4009324009324
17	243.0	-1878.7482517482517	243.0	-597.3496503496505
18	242.0	-2123.659673659674	242.0	-630.2517482517483
19	241.0	-2416.666666666667	241.0	-736.925407925408
20	240.0	-2765.850815850816	240.0	-867.7226107226107
21	239.0	-3228.927738927739	239.0	-1029.7435897435896
22	238.0	-3747.668997668998	238.0	-1091.3216783216783
23	237.0	-4357.342657342658	237.0	-1201.6433566433568
24	236.0	-5233.939393939394	236.0	-1333.927738927739
25	235.0	-6329.34731934732	235.0	-1441.888111888112
26	234.0	-7478.508158508159	234.0	-1545.4009324009326
27	233.0	-8770.04662004662	233.0	-1640.6503496503499
28	232.0	-10285.804195804196	232.0	-1721.897435897436
29	231.0	-11791.282051282053	231.0	-1887.7016317016316
30	230.0	-13279.766899766902	230.0	-1983.3146853146854
31	229.0	-14829.58041958042	229.0	-2051.6293706293704
32	228.0	-16370.06993006993	228.0	-2159.3333333333335
33	227.0	-17743.752913752916	227.0	-2205.988344988345
34	226.0	-19018.34498834499	226.0	-2288.2750582750587
35	225.0	-20120.629370629373	225.0	-2267.244755244755
36	224.0	-21116.923076923078	224.0	-2203.2470862470864
37	223.0	-21979.463869463874	223.0	-2122.794871794872
38	222.0	-22708.71794871795	222.0	-1990.3473193473194
39	221.0	-23354.079254079257	221.0	-1798.857808857809
40	220.0	-23866.899766899765	220.0	-1688.717948717949
41	219.0	-24193.9393939394	219.0	-1729.804195804196
42	218.0	-24557.109557109557	218.0	-1808.3240093240095
43	217.0	-24814.219114219115	217.0	-1943.20979020979
44	216.0	-25031.934731934733	216.0	-2030.7156177156178
45	215.0	-25349.88344988345	215.0	-2042.0442890442891
46	214.0	-25744.289044289046	214.0	-2144.5174825174827
47	213.0	-26241.25874125874	213.0	-2333.566433566434
48	212.0	-27040.09324009324	212.0	-2717.4125874125875
49	211.0	-28132.40093240093	211.0	-3192.0046620046624
50	210.0	-29622.610722610723	210.0	-3695.5710955710956
51	209.0	-31212.121212121216	209.0	-4442.051282051282
52	208.0	-32520.979020979023	208.0	-5338.368298368299
53	207.0	-33090.90909090909	207.0	-6389.90675990676
54	206.0	-32665.50116550117	206.0	-7566.177156177157
55	205.0	-30917.48251748252	205.0	-8868.181818181818
56	204.0	-27818.88111888112	204.0	-10290.55944055944
57	203.0	-23414.21911421912	203.0	-11561.188811188813
58	202.0	-17853.706293706295	202.0	-12927.97202797203
59	201.0	-11155.547785547786	201.0	-14257.389277389279
60	200.0	-3263.4265734265737	200.0	-15467.948717948719
61	199.0	6043.286713286713	199.0	-16368.20512820513
62	198.0	16231.608391608392	198.0	-16791.794871794875
63	197.0	26713.752913752916	197.0	-16856.526806526806
64	196.0	36934.73193473194	196.0	-16452.167832167834
65	195.0	45956.41025641026	195.0	-15712.750582750585
66	194.0	53044.28904428904	194.0	-14655.967365967368
67	193.0	57816.55011655012	193.0	-13285.431235431235
68	192.0	60107.92540792542	192.0	-11749.627039627041
69	191.0	60342.89044289045	191.0	-10088.344988344988
70	190.0	58569.93006993008	190.0	-8377.785547785548
71	189.0	55043.58974358975	189.0	-6856.899766899767
72	188.0	50280.18648018648	188.0	-5475.477855477857
73	187.0	44708.85780885781	187.0	-4284.3822843822845
74	186.0	38994.6386946387	186.0	-3518.5081585081584
75	185.0	33251.04895104895	185.0	-2987.552447552448
