_ChargeC1	_ChargeC2	_ChargeC3	_ChargeD1001	_ChargeD1025	_ChargeD1050	_ChargeD1075	_ChargeD1100	_ChargeD2001	_ChargeD2025	_ChargeD2050	_ChargeD2075	_ChargeD2100	_ChargeD3001	_ChargeD3025	_ChargeD3050	_ChargeD3075	_ChargeD3100	_ChargeT12	_ChargeT13	_ChargeT23	_HydrophobicityC1	_HydrophobicityC2	_HydrophobicityC3	_HydrophobicityD1001	_HydrophobicityD1025	_HydrophobicityD1050	_HydrophobicityD1075	_HydrophobicityD1100	_HydrophobicityD2001	_HydrophobicityD2025	_HydrophobicityD2050	_HydrophobicityD2075	_HydrophobicityD2100	_HydrophobicityD3001	_HydrophobicityD3025	_HydrophobicityD3050	_HydrophobicityD3075	_HydrophobicityD3100	_HydrophobicityT12	_HydrophobicityT13	_HydrophobicityT23	_NormalizedVDWVC1	_NormalizedVDWVC2	_NormalizedVDWVC3	_NormalizedVDWVD1001	_NormalizedVDWVD1025	_NormalizedVDWVD1050	_NormalizedVDWVD1075	_NormalizedVDWVD1100	_NormalizedVDWVD2001	_NormalizedVDWVD2025	_NormalizedVDWVD2050	_NormalizedVDWVD2075	_NormalizedVDWVD2100	_NormalizedVDWVD3001	_NormalizedVDWVD3025	_NormalizedVDWVD3050	_NormalizedVDWVD3075	_NormalizedVDWVD3100	_NormalizedVDWVT12	_NormalizedVDWVT13	_NormalizedVDWVT23	_PolarityC1	_PolarityC2	_PolarityC3	_PolarityD1001	_PolarityD1025	_PolarityD1050	_PolarityD1075	_PolarityD1100	_PolarityD2001	_PolarityD2025	_PolarityD2050	_PolarityD2075	_PolarityD2100	_PolarityD3001	_PolarityD3025	_PolarityD3050	_PolarityD3075	_PolarityD3100	_PolarityT12	_PolarityT13	_PolarityT23	_PolarizabilityC1	_PolarizabilityC2	_PolarizabilityC3	_PolarizabilityD1001	_PolarizabilityD1025	_PolarizabilityD1050	_PolarizabilityD1075	_PolarizabilityD1100	_PolarizabilityD2001	_PolarizabilityD2025	_PolarizabilityD2050	_PolarizabilityD2075	_PolarizabilityD2100	_PolarizabilityD3001	_PolarizabilityD3025	_PolarizabilityD3050	_PolarizabilityD3075	_PolarizabilityD3100	_PolarizabilityT12	_PolarizabilityT13	_PolarizabilityT23	_SecondaryStrC1	_SecondaryStrC2	_SecondaryStrC3	_SecondaryStrD1001	_SecondaryStrD1025	_SecondaryStrD1050	_SecondaryStrD1075	_SecondaryStrD1100	_SecondaryStrD2001	_SecondaryStrD2025	_SecondaryStrD2050	_SecondaryStrD2075	_SecondaryStrD2100	_SecondaryStrD3001	_SecondaryStrD3025	_SecondaryStrD3050	_SecondaryStrD3075	_SecondaryStrD3100	_SecondaryStrT12	_SecondaryStrT13	_SecondaryStrT23	_SolventAccessibilityC1	_SolventAccessibilityC2	_SolventAccessibilityC3	_SolventAccessibilityD1001	_SolventAccessibilityD1025	_SolventAccessibilityD1050	_SolventAccessibilityD1075	_SolventAccessibilityD1100	_SolventAccessibilityD2001	_SolventAccessibilityD2025	_SolventAccessibilityD2050	_SolventAccessibilityD2075	_SolventAccessibilityD2100	_SolventAccessibilityD3001	_SolventAccessibilityD3025	_SolventAccessibilityD3050	_SolventAccessibilityD3075	_SolventAccessibilityD3100	_SolventAccessibilityT12	_SolventAccessibilityT13	_SolventAccessibilityT23
0.143	0.786	0.071	50.0	57.143	50.0	50.0	57.143	7.143	14.286	42.857	78.571	100.0	28.571	28.571	28.571	28.571	28.571	0.154	0.0	0.154	0.214	0.286	0.5	28.571	57.143	28.571	50.0	57.143	7.143	7.143	78.571	85.714	100.0	14.286	14.286	35.714	64.286	92.857	0.0	0.308	0.308	0.357	0.429	0.214	7.143	7.143	28.571	78.571	100.0	14.286	14.286	42.857	64.286	92.857	21.429	57.143	21.429	50.0	57.143	0.385	0.077	0.231	0.5	0.0	0.143	14.286	14.286	35.714	64.286	92.857	0	0	0	0	0	50.0	57.143	50.0	50.0	57.143	0.0	0.154	0.0	0.357	0.429	0.214	7.143	7.143	28.571	78.571	100.0	14.286	14.286	42.857	64.286	92.857	21.429	57.143	21.429	50.0	57.143	0.385	0.077	0.231	0.357	0.357	0.286	14.286	14.286	50.0	57.143	92.857	21.429	21.429	35.714	42.857	71.429	7.143	7.143	28.571	78.571	100.0	0.231	0.231	0.231	0.786	0.214	0.0	7.143	14.286	42.857	78.571	100.0	28.571	57.143	28.571	50.0	57.143	0	0	0	0	0	0.308	0.0	0.0
0.5	0.5	0.0	8.333	8.333	58.333	66.667	100.0	16.667	16.667	41.667	50.0	91.667	0.0	0.0	0.0	0.0	0.0	0.545	0.0	0.0	0.5	0.0	0.5	8.333	8.333	58.333	66.667	100.0	0.0	0.0	0.0	0.0	0.0	16.667	16.667	41.667	50.0	91.667	0.0	0.545	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	16.667	16.667	41.667	50.0	91.667	8.333	8.333	58.333	66.667	100.0	0.0	0.0	0.545	0.5	0.0	0.5	16.667	16.667	41.667	50.0	91.667	0	0	0	0	0	8.333	8.333	58.333	66.667	100.0	0.0	0.545	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	16.667	16.667	41.667	50.0	91.667	8.333	8.333	58.333	66.667	100.0	0.0	0.0	0.545	1.0	0.0	0.0	8.333	25.0	50.0	75.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	16.667	16.667	41.667	50.0	91.667	8.333	8.333	58.333	66.667	100.0	0	0	0	0	0	0.545	0.0	0.0
0.333	0.667	0.0	11.111	100.0	11.111	66.667	100.0	22.222	22.222	44.444	55.556	88.889	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.333	0.0	0.667	11.111	100.0	11.111	66.667	100.0	0.0	0.0	0.0	0.0	0.0	22.222	22.222	44.444	55.556	88.889	0.0	0.5	0.0	0.0	0.667	0.333	0.0	0.0	0.0	0.0	0.0	22.222	22.222	44.444	55.556	88.889	11.111	100.0	11.111	66.667	100.0	0.0	0.0	0.5	0.667	0.0	0.333	22.222	22.222	44.444	55.556	88.889	0	0	0	0	0	11.111	100.0	11.111	66.667	100.0	0.0	0.5	0.0	0.0	0.667	0.333	0.0	0.0	0.0	0.0	0.0	22.222	22.222	44.444	55.556	88.889	11.111	100.0	11.111	66.667	100.0	0.0	0.0	0.5	1.0	0.0	0.0	11.111	22.222	44.444	66.667	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.667	0.333	0.0	22.222	22.222	44.444	55.556	88.889	11.111	100.0	11.111	66.667	100.0	0	0	0	0	0	0.5	0.0	0.0
0.143	0.786	0.071	50.0	57.143	50.0	50.0	57.143	7.143	14.286	42.857	78.571	100.0	28.571	28.571	28.571	28.571	28.571	0.154	0.0	0.154	0.214	0.286	0.5	28.571	57.143	28.571	50.0	57.143	7.143	7.143	78.571	85.714	100.0	14.286	14.286	35.714	64.286	92.857	0.0	0.308	0.308	0.357	0.429	0.214	7.143	7.143	28.571	78.571	100.0	14.286	14.286	42.857	64.286	92.857	21.429	57.143	21.429	50.0	57.143	0.385	0.077	0.231	0.5	0.0	0.143	14.286	14.286	35.714	64.286	92.857	0	0	0	0	0	50.0	57.143	50.0	50.0	57.143	0.0	0.154	0.0	0.357	0.429	0.214	7.143	7.143	28.571	78.571	100.0	14.286	14.286	42.857	64.286	92.857	21.429	57.143	21.429	50.0	57.143	0.385	0.077	0.231	0.357	0.357	0.286	14.286	14.286	50.0	57.143	92.857	21.429	21.429	35.714	42.857	71.429	7.143	7.143	28.571	78.571	100.0	0.231	0.231	0.231	0.786	0.214	0.0	7.143	14.286	42.857	78.571	100.0	28.571	57.143	28.571	50.0	57.143	0	0	0	0	0	0.308	0.0	0.0
0.143	0.786	0.071	50.0	57.143	50.0	50.0	57.143	7.143	14.286	42.857	78.571	100.0	28.571	28.571	28.571	28.571	28.571	0.154	0.0	0.154	0.214	0.286	0.5	28.571	57.143	28.571	50.0	57.143	7.143	7.143	78.571	85.714	100.0	14.286	14.286	35.714	64.286	92.857	0.0	0.308	0.308	0.357	0.429	0.214	7.143	7.143	28.571	78.571	100.0	14.286	14.286	42.857	64.286	92.857	21.429	57.143	21.429	50.0	57.143	0.385	0.077	0.231	0.5	0.0	0.143	14.286	14.286	35.714	64.286	92.857	0	0	0	0	0	50.0	57.143	50.0	50.0	57.143	0.0	0.154	0.0	0.357	0.429	0.214	7.143	7.143	28.571	78.571	100.0	14.286	14.286	42.857	64.286	92.857	21.429	57.143	21.429	50.0	57.143	0.385	0.077	0.231	0.357	0.357	0.286	14.286	14.286	50.0	57.143	92.857	21.429	21.429	35.714	42.857	71.429	7.143	7.143	28.571	78.571	100.0	0.231	0.231	0.231	0.786	0.214	0.0	7.143	14.286	42.857	78.571	100.0	28.571	57.143	28.571	50.0	57.143	0	0	0	0	0	0.308	0.0	0.0
0.5	0.5	0.0	8.333	8.333	58.333	66.667	100.0	16.667	16.667	41.667	50.0	91.667	0.0	0.0	0.0	0.0	0.0	0.545	0.0	0.0	0.5	0.0	0.5	8.333	8.333	58.333	66.667	100.0	0.0	0.0	0.0	0.0	0.0	16.667	16.667	41.667	50.0	91.667	0.0	0.545	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	16.667	16.667	41.667	50.0	91.667	8.333	8.333	58.333	66.667	100.0	0.0	0.0	0.545	0.5	0.0	0.5	16.667	16.667	41.667	50.0	91.667	0	0	0	0	0	8.333	8.333	58.333	66.667	100.0	0.0	0.545	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	16.667	16.667	41.667	50.0	91.667	8.333	8.333	58.333	66.667	100.0	0.0	0.0	0.545	1.0	0.0	0.0	8.333	25.0	50.0	75.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	16.667	16.667	41.667	50.0	91.667	8.333	8.333	58.333	66.667	100.0	0	0	0	0	0	0.545	0.0	0.0
0.333	0.667	0.0	11.111	100.0	11.111	66.667	100.0	22.222	22.222	44.444	55.556	88.889	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.333	0.0	0.667	11.111	100.0	11.111	66.667	100.0	0.0	0.0	0.0	0.0	0.0	22.222	22.222	44.444	55.556	88.889	0.0	0.5	0.0	0.0	0.667	0.333	0.0	0.0	0.0	0.0	0.0	22.222	22.222	44.444	55.556	88.889	11.111	100.0	11.111	66.667	100.0	0.0	0.0	0.5	0.667	0.0	0.333	22.222	22.222	44.444	55.556	88.889	0	0	0	0	0	11.111	100.0	11.111	66.667	100.0	0.0	0.5	0.0	0.0	0.667	0.333	0.0	0.0	0.0	0.0	0.0	22.222	22.222	44.444	55.556	88.889	11.111	100.0	11.111	66.667	100.0	0.0	0.0	0.5	1.0	0.0	0.0	11.111	22.222	44.444	66.667	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.667	0.333	0.0	22.222	22.222	44.444	55.556	88.889	11.111	100.0	11.111	66.667	100.0	0	0	0	0	0	0.5	0.0	0.0
0.143	0.786	0.071	50.0	57.143	50.0	50.0	57.143	7.143	14.286	42.857	78.571	100.0	28.571	28.571	28.571	28.571	28.571	0.154	0.0	0.154	0.214	0.286	0.5	28.571	57.143	28.571	50.0	57.143	7.143	7.143	78.571	85.714	100.0	14.286	14.286	35.714	64.286	92.857	0.0	0.308	0.308	0.357	0.429	0.214	7.143	7.143	28.571	78.571	100.0	14.286	14.286	42.857	64.286	92.857	21.429	57.143	21.429	50.0	57.143	0.385	0.077	0.231	0.5	0.0	0.143	14.286	14.286	35.714	64.286	92.857	0	0	0	0	0	50.0	57.143	50.0	50.0	57.143	0.0	0.154	0.0	0.357	0.429	0.214	7.143	7.143	28.571	78.571	100.0	14.286	14.286	42.857	64.286	92.857	21.429	57.143	21.429	50.0	57.143	0.385	0.077	0.231	0.357	0.357	0.286	14.286	14.286	50.0	57.143	92.857	21.429	21.429	35.714	42.857	71.429	7.143	7.143	28.571	78.571	100.0	0.231	0.231	0.231	0.786	0.214	0.0	7.143	14.286	42.857	78.571	100.0	28.571	57.143	28.571	50.0	57.143	0	0	0	0	0	0.308	0.0	0.0
0.143	0.786	0.071	50.0	57.143	50.0	50.0	57.143	7.143	14.286	42.857	78.571	100.0	28.571	28.571	28.571	28.571	28.571	0.154	0.0	0.154	0.214	0.286	0.5	28.571	57.143	28.571	50.0	57.143	7.143	7.143	78.571	85.714	100.0	14.286	14.286	35.714	64.286	92.857	0.0	0.308	0.308	0.357	0.429	0.214	7.143	7.143	28.571	78.571	100.0	14.286	14.286	42.857	64.286	92.857	21.429	57.143	21.429	50.0	57.143	0.385	0.077	0.231	0.5	0.0	0.143	14.286	14.286	35.714	64.286	92.857	0	0	0	0	0	50.0	57.143	50.0	50.0	57.143	0.0	0.154	0.0	0.357	0.429	0.214	7.143	7.143	28.571	78.571	100.0	14.286	14.286	42.857	64.286	92.857	21.429	57.143	21.429	50.0	57.143	0.385	0.077	0.231	0.357	0.357	0.286	14.286	14.286	50.0	57.143	92.857	21.429	21.429	35.714	42.857	71.429	7.143	7.143	28.571	78.571	100.0	0.231	0.231	0.231	0.786	0.214	0.0	7.143	14.286	42.857	78.571	100.0	28.571	57.143	28.571	50.0	57.143	0	0	0	0	0	0.308	0.0	0.0
0.5	0.5	0.0	8.333	8.333	58.333	66.667	100.0	16.667	16.667	41.667	50.0	91.667	0.0	0.0	0.0	0.0	0.0	0.545	0.0	0.0	0.5	0.0	0.5	8.333	8.333	58.333	66.667	100.0	0.0	0.0	0.0	0.0	0.0	16.667	16.667	41.667	50.0	91.667	0.0	0.545	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	16.667	16.667	41.667	50.0	91.667	8.333	8.333	58.333	66.667	100.0	0.0	0.0	0.545	0.5	0.0	0.5	16.667	16.667	41.667	50.0	91.667	0	0	0	0	0	8.333	8.333	58.333	66.667	100.0	0.0	0.545	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	16.667	16.667	41.667	50.0	91.667	8.333	8.333	58.333	66.667	100.0	0.0	0.0	0.545	1.0	0.0	0.0	8.333	25.0	50.0	75.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	16.667	16.667	41.667	50.0	91.667	8.333	8.333	58.333	66.667	100.0	0	0	0	0	0	0.545	0.0	0.0
